"EstablishmentID","InspectionID","EstablishmentName","PlaceName","Address","Address2","City","State","Zip","TypeDescription","Latitude","Longitude","InspectionDate","Score","Grade","NameSearch","Intersection"
"34210","1443494","TWIG AND LEAF","","2122 BARDSTOWN RD","","LOUISVILLE","KY","40205","FOOD SERVICE","38.2246000","-85.6944000","2019-01-18 00:00:00","95","A","TWIG AND LEAF",""
"106584","1443518","MINIT MART #683","","1123 S FLOYD ST","","LOUISVILLE","KY","40203","RETAIL-FOOD  10,000 SQ FT OR LESS","38.2358000","-85.7511000","2019-01-09 00:00:00","","","MINIT MART #683",""
"90506","1443521","PBR LOUISVILLE","","432 S 4TH ST","","LOUISVILLE","KY","40202","FOOD SERVICE","38.2519000","-86.7573000","2019-01-18 00:00:00","95","A","PBR LOUISVILLE",""
"94549","1463608","KAYFIELD ACADEMY","","2930 SIX MILE LN","","LOUISVILLE","KY","40220","FOOD SERVICE (DAY CARE / CHILD CARE CENTER","38.1999000","-85.5922000","2019-04-18 00:00:00","100","A","KAYFIELD ACADEMY",""
"103867","1463610","MI COCINA MEXICAN RESTAURANT","","2060 S HURSTBOURNE PKWY","","LOUISVILLE","KY","40299","FOOD SERVICE","38.2175000","-85.5893000","2019-04-18 00:00:00","98","A","MI COCINA MEXICAN RESTAURANT",""
"104284","1463611","WING STOP","","2007 S HURSTBOURNE PKWY","","LOUISVILLE","KY","40220","FOOD SERVICE","38.2174000","-85.5871000","2019-04-18 00:00:00","100","A","WING STOP",""
"104252","1463617","JARFI'S CATERING","","222 S 7TH ST","","LOUISVILLE","KY","40202","CATERERS","38.2549000","-85.7629000","2019-04-18 00:00:00","99","A","JARFI'S CATERING",""
"84757","1463633","COCINA DE MAMA KITCHEN","","520 S 4TH ST","","LOUISVILLE","KY","40202","FOOD SERVICE","38.2506000","-85.7576000","2019-04-18 00:00:00","95","A","COCINA DE MAMA KITCHEN",""
"93399","1463643","DINO'S  II","","2601 W BROADWAY","","LOUISVILLE","KY","40211","RETAIL-FOOD  10,000 SQ FT OR LESS","38.2497000","-85.9951000","2019-04-18 00:00:00","100","A","DINO'S  II",""
"96424","1463676","EAT A PITA","","2286 BARDSTOWN RD","","LOUISVILLE","KY","40205","FOOD SERVICE","38.2240000","-85.6913000","2019-04-18 00:00:00","96","A","EAT A PITA",""
